"FormType","Count","AvgRevenue","AvgExpenses","AvgAssets","AvgNetAssets"
"990T","106","2064.0471698113206","1000.0","1.4526333009523809E7","1.4526333009523809E7"
"990","195","9483862.651282052","8147240.830769231","1.7557314851282053E7","1.2377439507692307E7"
"990EZ","162","70522.25157232705","65324.98125","81526.04938271605","73434.08125"
"990PF","25","179349.0","96436.2","1137300.92","1124987.16"
