"ExpenseToRevenueRatio","Count","AvgRevenue","AvgExpenses"
"Under 50%","55","1204056.3454545455","326416.7454545455"
"50% - 75%","72","836819.0","541514.2916666666"
"75% - 100%","135","1.0943215585185185E7","9196155.718518518"
"100% - 150%","74","3503208.445945946","3996219.0945945946"
"Over 150%","35","65307.65714285714","209254.57575757575"
